threshold,precision,recall,f1,false_alarm_rate
0.7104117274284363,0.4458244111349036,0.8261904761904761,0.5791376912378303,0.1485478131098611
0.7133018553256989,0.449438202247191,0.8253968253968254,0.5819809736989368,0.14625186545746757
0.7165668845176696,0.45574057843996496,0.8253968253968254,0.5872388481084133,0.14257834921363793
0.7202076315879822,0.4595669465311533,0.8253968253968254,0.5904059040590406,0.14039719894386407
0.7220037698745727,0.4628393413440142,0.8253968253968254,0.5930995152552039,0.13856044082194927
0.7264883816242218,0.46846846846846846,0.8253968253968254,0.5977011494252874,0.135460911491218
0.7291754007339477,0.4727272727272727,0.8253968253968254,0.6011560693641619,0.13316496383882448
0.7315879464149475,0.47619047619047616,0.8253968253968254,0.6039488966318235,0.13132820571690965
0.7354551315307617,0.48148148148148145,0.8253968253968254,0.6081871345029239,0.1285730685340374
0.7382373452186585,0.4866635470285447,0.8253968253968254,0.6123049749779217,0.12593272873378486
0.744205892086029,0.49359278595158995,0.8253968253968254,0.6177606177606177,0.12248880725519458
0.748875778913498,0.4983213429256595,0.8246031746031746,0.6212257100149476,0.12007806222018139
0.7548205375671387,0.5024177949709865,0.8246031746031746,0.6243990384615384,0.11812650671564688
0.7614617764949799,0.508565834557024,0.8246031746031746,0.6291250378443839,0.11525657215015497
0.7660552620887756,0.513593672763223,0.8246031746031746,0.6329576606762107,0.11296062449776145
0.7735695540904999,0.5195195195195195,0.8238095238095238,0.6372007366482505,0.11020548731488922
0.7820663452148438,0.5277071682765633,0.8238095238095238,0.6433219708707778,0.10664676845367925
0.789259523153305,0.5350515463917526,0.8238095238095238,0.64875,0.103547239122948
0.8004348039627075,0.5435466946484785,0.8222222222222222,0.6544535691724573,0.09987372287911836
0.8189555644989014,0.5651936715766503,0.8222222222222222,0.6698997736825089,0.091493513947882
