timestamp,temperature,voltage,current,pressure,vibration,rpm,battery,anomaly,anomaly_type,temperature_stuck_v2,voltage_stuck_v2,current_stuck_v2,pressure_stuck_v2,vibration_stuck_v2,rpm_stuck_v2,battery_stuck_v2,stuck_sensor_detected
2026-01-01 00:00:00,0.3321482010351554,-0.5701428683770835,0.2114191252266613,-1.282148239688063,-0.3168867285128259,0.0391737817465575,1.7284444178130105,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:01,-0.0801730913947507,-0.3093207165038446,0.1716315663735114,-0.6957997744646285,0.5609144187704308,-0.0628031089470221,1.7756027799226324,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:02,0.4450270929921304,-0.5076219399235238,-0.6618544209627899,-0.3980479832701504,-0.1350854144655268,0.6052647513989069,1.7532770866021152,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:03,1.02920472288015,-0.0156048066996643,0.3849547034951032,0.0691805215086027,0.0445152237678991,0.9891219955192164,1.593409659834932,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:04,-0.1235419593244849,0.7380998044467839,-1.0325777803268157,0.6233079412311695,0.4215000776121725,0.4403187241623036,1.7003832408992126,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:05,-0.1169001551578417,-0.6177790695456059,-0.4532446204842014,0.4178236286023691,-0.0207951374004703,0.6566371079882903,1.782481740353944,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:06,1.0861665477949562,0.6090149556054058,-1.3726803411331172,-0.7610036256908,-1.0367682022157183,-0.1424602993226031,1.7588818756821156,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:07,0.5571884442089399,-0.6186117800330936,1.0772349887289971,-0.2490538420683878,0.643181089200758,0.085695051978677,1.640270985993382,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:08,-0.2522903335561465,-0.6609028618205832,-0.1482181835033301,0.0361671770488092,0.7793085091823749,0.9788693007693784,1.757687031671054,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:09,0.4220679297154704,0.4929413896728438,1.5049732704065346,-0.174713485819218,-1.011578197324929,0.3561870769518868,1.806314707439628,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:10,-0.2350481937723686,0.5675558577654105,0.5724554116312871,-0.1765423809614776,-0.540625835321593,-0.1421348603968306,1.6196547850011391,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:11,-0.2299544875575495,0.5221072474334116,0.3334340316307982,-1.090495866043706,1.2611652378675775,0.0414263406348023,1.5223044740256206,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:12,0.243592674018646,-0.9711814533707852,-0.3725610006311384,-0.7283876964124296,0.225897622953418,0.7021062109575222,1.8894146600727488,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:13,-1.1718099282780516,-0.3810775268708243,-0.6839326933047463,-0.2529010337049345,0.1034228358798899,0.764425771112991,1.745325876205313,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:14,-1.040919796811893,0.5122368785122619,0.3994409937405209,-1.9468475835547727,-0.1366865856673038,-0.5179323155723234,1.6687766202548544,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:15,-0.2672173580195409,-0.0241314708443128,-0.0042755049406392,0.4104995240327339,-0.4786280904524446,0.2735387897105693,1.6649114941046448,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:16,-0.5578810683677586,-0.7909938575538324,-0.8707027160462226,-0.85653170371676,0.0205456646281797,0.0355340918921558,1.7272577074000113,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:17,0.3243151422045547,0.2701692337088525,-0.98790741510095,0.4449103747206924,0.713873925093,0.0019266437028368,1.8147928270618097,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:18,-0.4755384695491371,-0.5366698630579954,-0.5994705729031123,0.3921029559868036,0.1466382981657869,0.918306134447497,1.563200396895439,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:19,-0.8016702187244624,1.1993705007433548,1.3157138915449642,-0.3258266546211729,0.5229605029744383,-0.1022939842306388,1.6718621843891657,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:20,1.1037690273158298,1.030202714540017,1.5901695270815823,0.6506638181818039,1.2084022022820542,-0.3191302673412982,1.8736544954819505,0,normal,False,False,False,False,False,False,False,0
2026-01-01 00:00:21,-0.0056441829468026,0.3838300210568897,0.2147975102863078,0.491007779708442,-0.1506700220070767,-0.4715095390859151,1.791521580277747,0,normal,False,False,False,False,False,False,False,0
